SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
424.53,231.28,231.28,231.28,231.28,231.28,-40.21,-40.21,499.29,499.29,499.29,479.19,479.19,479.19,231.28,231.28,231.28
485.01,435.18,435.18,435.18,435.18,435.18,277.84,277.84,520.21,520.21,520.21,516.53,516.53,516.53,435.18,435.18,425.68
550.46,529.96,529.96,582.48,583.15,584,577.98,578.65,582.58,582.58,549.46,529.96,529.96,529.96,584.66,584.66,558.85
525.88,523.28,523.28,524.8,525.51,561.82,510.13,512.36,525.67,525.67,525.67,523.28,523.28,523.28,561.82,561.82,561.82
519.4,519.89,519.89,519.89,523.78,535.2,446.75,451.15,519.89,519.89,519.89,519.89,519.89,519.89,535.2,535.2,534.88
521.86,521.25,521.25,522.65,530.97,522.65,522.21,531.83,522.77,522.77,522.77,521.25,521.25,521.25,522.65,530.97,530.97
529.45,522.94,522.94,530.72,574.27,531.11,492.02,548.59,531.77,531.39,531.77,522.94,522.94,522.94,531.11,599.88,599.88
506.31,506.36,506.36,506.36,506.36,532.62,352.88,352.88,507.65,507.65,507.65,506.36,506.36,506.36,532.62,601.48,601.48
512.01,509.53,509.53,509.53,509.53,591.46,408.93,408.93,513.58,513.58,513.58,509.53,509.53,509.53,591.46,597.36,596.84
550.09,512.26,512.26,608.47,660.87,609.62,609.24,694.48,609.24,609.24,609.24,510.69,510.69,510.69,609.62,663.89,665.35
504.72,495.67,495.67,506.56,506.56,526.71,500.47,516.56,510.48,510.48,510.48,495.67,495.67,495.67,526.71,564.43,564.43
502.34,493.48,493.48,493.48,493.48,493.48,493.48,493.48,507.54,507.54,507.54,499.31,499.31,499.31,493.48,497.71,497.71
497.71,492.27,492.27,492.27,492.27,492.27,336.37,396.47,506.2,506.2,506.2,497.84,497.84,497.84,492.27,492.27,492.27
497.68,450.64,450.64,450.64,450.64,495.92,334.77,357.86,510.84,510.84,510.84,504.98,504.98,504.98,495.92,498.33,498.33
531.42,514.79,514.79,515.96,515.96,547.99,513.82,515.96,533.96,531.82,533.96,532.58,532.58,532.58,547.99,548.94,548.94
536.35,533.9,533.9,533.9,533.9,568.93,528.96,533.9,538.09,533.15,536.9,537.46,537.46,537.46,568.93,568.93,568.93
539.51,531.75,531.75,534.71,534.71,540.4,516.75,516.75,541.98,541.98,541.98,537.55,537.55,537.55,540.4,540.4,540.4
589.8,557.51,557.51,629.07,635.17,638.97,629.07,635.42,629.07,629.07,629.07,554.15,554.15,533.64,634.57,634.57,634.57
559.21,564.37,564.37,564.37,566.77,564.54,563.82,566.91,565.03,565.03,565.03,564.37,564.37,524.21,564.54,568.18,568.18
557.38,564.24,564.24,564.24,564.24,564.24,564.25,564.6,567.27,567.27,567.27,556.8,556.8,524.39,564.24,564.24,564.24
646.59,705.57,705.57,705.57,705.57,705.57,699.45,705.57,701.66,699.44,699.44,588.38,588.38,537.48,705.57,705.57,705.57
615.83,645.36,645.36,645.36,645.36,659.26,642.28,645.36,642.76,641.61,642.06,577.48,577.48,539.5,659.26,659.26,659.26
641.19,698.71,698.71,698.71,713.25,698.71,696.98,713.25,694.7,694.7,694.7,567.26,567.26,527.53,698.71,705.12,713.25
704.29,798.51,798.51,811.63,815.03,811.63,811.63,815.03,801.5,801.5,801.5,570.69,570.69,538.41,811.63,811.63,815.03
624.38,671.67,671.67,671.67,684.87,672.77,669.66,684.87,663.44,663.21,663.44,564.69,564.69,537.95,672.77,684.22,684.87
555.06,557.26,557.26,557.26,557.26,567.3,543.31,557.26,556.81,555.7,556.81,556.81,556.81,532.96,567.3,567.3,567.3
537.3,538.83,538.83,538.83,538.83,548.02,466.41,477.69,538.83,538.83,538.83,538.83,538.83,535.66,548.02,548.02,534.5
578.02,578.81,578.81,580.41,581.42,628.26,574.01,581.42,580.41,574.01,580.41,564.78,564.78,539.43,628.09,628.09,625.82
605.31,627.42,627.42,636.69,636.69,637.88,636.69,636.69,636.69,636.69,636.69,571.02,571.02,544.24,637.88,637.88,637.88
577.56,600.25,600.25,600.54,600.54,614.21,568.94,598.82,600.54,570.67,576.86,573.63,573.63,542.45,613.21,613.21,613.21
584.65,591.56,591.56,596,618.62,635.63,556.98,608.45,595.41,566.54,567.22,591.56,591.56,591.56,635.63,635.63,635.24
564.35,560.94,560.94,560.94,571.36,594.58,560.77,571.36,560.94,560.77,560.94,560.94,560.94,560.94,594.58,594.58,594.58
530.76,529.78,529.78,529.78,529.78,529.78,529.79,531.48,530.83,530.83,530.83,529.78,529.78,529.78,529.78,529.78,529.78
522.33,520.93,520.93,520.93,520.93,520.93,520.93,523.89,523.9,523.9,523.9,520.93,520.93,520.93,520.93,520.93,520.93
547.98,556.74,556.74,558.95,558.95,570.93,495.88,546.56,558.95,542.29,549.01,556.74,556.74,556.74,570.93,570.93,570.93
546.48,544.38,544.38,544.38,544.38,577.81,519.67,519.67,543.91,543.91,543.91,544.38,544.38,544.38,577.09,577.09,571.81
550.41,541.28,541.28,557.1,557.1,588.97,552.09,557.1,557.1,552.09,552.14,541.28,541.28,541.28,588.97,588.97,574.42
519.63,518.46,518.46,518.46,518.83,537.79,480.29,508.88,520.26,520.26,520.26,518.44,518.44,518.44,537.79,537.79,533.68
515.36,510.38,510.38,510.38,510.38,525.24,427.29,453.81,520.11,520.11,520.11,510.42,510.42,510.42,525.24,525.24,520.48
492.63,494.44,494.44,494.44,494.44,494.44,71.55,101.13,502.76,502.76,502.76,494.54,494.54,494.54,494.44,494.44,471.59
488.77,477.74,477.74,477.74,477.74,477.74,346.31,360.46,496.67,496.67,496.67,482.35,482.35,482.35,477.74,477.74,462.5
496.49,493.03,493.03,493.03,493.03,529.8,354.81,412.57,499.82,499.82,499.82,493.03,493.03,493.03,529.8,529.8,512.4
503.95,487.63,487.63,503.57,510.89,512.09,485.73,511.68,511.72,511.72,511.72,487.63,487.63,487.63,513.4,513.4,513.4
481.54,473.16,473.16,476.75,478.76,505.08,462.58,464.59,485.37,485.37,485.37,473.16,473.16,473.16,505.08,505.08,500.15
466.13,456.4,456.4,466.45,493.6,487.66,493.19,506.05,470.74,470.74,470.74,456.4,456.4,456.4,502.2,502.2,501.64
458.35,454.9,454.9,456.82,481.16,462.7,474.93,485.43,460.32,460.32,460.32,454.9,454.9,454.9,485.8,485.8,485.8
431.96,417.43,417.43,417.43,417.43,417.43,402.02,402.02,444.38,444.38,444.38,417.43,417.43,417.43,417.43,417.43,417.09
444.79,433.92,433.92,433.92,434.32,434.32,431.83,436.48,449.81,449.81,449.81,438.7,438.7,438.7,434.32,434.32,434.12
461.48,457.51,457.51,457.68,476.23,460.34,463.31,475.6,463.23,463.23,463.23,457.64,457.64,457.64,481.73,481.73,481.73
447.34,435.63,435.63,435.63,436.44,448.58,421.14,436.44,451.58,451.58,451.58,448.33,448.33,448.33,458.5,458.5,458.5
462.16,449.49,449.49,450.62,450.62,450.62,475.15,481.97,467.06,467.06,467.06,462.23,462.23,462.23,450.62,450.62,450.62
464.8,461.49,461.49,467.04,470.75,504.79,460.58,460.58,464.16,464.16,464.16,461.49,461.49,461.49,504.79,504.79,504.79
459.96,450.75,450.75,479.74,497.66,496.63,496.83,497.62,463.19,463.19,463.19,450.75,450.75,450.75,502.05,502.05,500.98
426.66,419.84,419.84,419.84,419.84,419.84,424.04,425.33,435.06,435.06,435.06,419.84,419.84,419.84,419.84,419.84,419.84
420.75,404.36,404.36,404.36,404.36,404.36,411.62,411.62,440.66,440.66,440.66,404.36,404.36,404.36,404.36,404.36,404.24
437.93,426.51,426.51,433.66,439.4,433.74,454.44,459.77,445.88,445.88,445.88,426.51,426.51,426.51,447.23,447.23,447.23
444.8,435.95,435.95,438.57,464.14,476.26,475.05,475.65,447.21,447.21,447.21,435.95,435.95,435.95,478.12,478.12,478.12
436.33,427.03,427.03,434.72,442.28,434.95,444.92,444.92,444.37,444.37,444.37,427.03,427.03,427.03,484.07,484.07,484.07
435.42,421.84,421.84,423.48,430.66,426.05,428.88,430.76,445.08,445.08,445.08,422.94,422.94,422.26,438.96,438.96,438.96
469.68,457.08,457.08,473.4,485.44,518.4,488.34,489.92,470.67,470.67,470.67,457.08,457.08,456.93,520.89,520.89,520.89
441.88,431.51,431.51,431.51,431.51,431.51,426.9,427.85,453.77,453.77,453.77,431.51,431.51,431.51,431.51,431.51,431.51
423.54,422.52,422.52,422.52,422.52,422.52,157.89,373.3,437.04,437.04,437.04,422.52,422.52,422.52,422.52,422.52,421.47
442.36,440.69,440.69,440.69,440.69,495.64,174.68,285.12,448.67,448.67,448.67,440.69,440.69,440.69,495.64,495.64,490.23
461.15,461.42,461.42,461.42,461.42,476.48,358.72,358.71,468.28,468.28,468.28,462.48,462.48,462.48,476.48,476.48,476.48
472.42,472.07,472.07,472.07,472.07,486.28,423.86,461.99,474.05,474.05,474.05,473.99,473.99,473.99,488.24,488.24,488.24
462.31,455.14,455.14,455.14,455.14,463.73,428.44,430.76,467.57,467.57,467.57,468.44,468.44,468.44,463.73,463.73,463.73
436.51,408.87,408.87,408.87,408.87,408.87,338.48,367.28,451.27,451.27,451.27,452.48,452.48,452.48,408.87,408.87,408.87
430.44,405.34,405.34,405.34,405.34,405.34,84.77,90.39,462.49,462.49,462.49,460.65,460.65,460.65,405.34,405.34,401.65
440.38,413.62,413.62,413.62,413.62,413.62,295.84,295.84,459.76,459.76,459.76,457.93,457.93,457.93,413.62,413.62,397.74
481.09,478.43,478.43,478.43,478.43,478.43,478.43,478.85,483.19,483.19,483.19,483.28,483.28,483.28,478.43,477.69,477.69
474.77,475.78,475.78,475.78,475.78,484.15,408.23,443.8,478.15,474.18,478.15,478.75,478.75,478.75,484.15,484.15,484.15
446.58,437.18,437.18,437.18,437.18,456.82,402.38,414.58,450.46,450.46,450.46,450.57,450.57,450.57,456.82,447.53,447.53
446.37,437.16,437.16,437.16,437.16,437.16,422.97,422.97,449.63,449.63,449.63,449.54,449.54,449.54,437.16,437.16,437.16
451.01,450.96,450.96,450.96,450.96,454.61,403.76,404.46,451.8,451.8,451.8,451.57,451.57,451.57,454.61,454.61,454.61
426.52,427.2,427.2,427.2,427.2,427.2,214.97,292.5,432.68,432.68,432.68,431.67,431.67,431.67,427.2,427.2,427.2
380.75,363.1,363.1,363.1,363.1,363.1,19.18,47.27,423.48,423.48,423.48,413.55,413.55,413.55,363.1,363.1,363.1
434.17,420.18,420.18,420.18,420.18,431.42,340.93,374,443.1,443.1,443.1,441.14,441.14,441.14,431.42,431.42,431.42
480.13,476.4,476.4,476.4,476.4,476.85,476.4,476.4,484.21,484.21,484.21,479.18,479.18,479.18,476.85,476.85,476.85
435.48,430.48,430.48,431.71,431.71,433.84,429.24,432.9,439.25,439.25,439.25,431.13,431.13,431.13,433.84,433.84,433.84
414.03,406.2,406.2,406.2,406.2,412.85,404.41,406.86,419.36,419.36,419.36,411.21,411.21,411.21,412.85,412.85,412.85
420.74,415.19,415.19,415.44,415.79,415.82,421.79,427.49,424.74,424.74,424.74,415.81,415.81,415.81,416.17,416.17,416.17
378.75,348.3,348.3,348.3,348.3,348.3,369.16,369.16,400.43,400.43,400.43,382.49,382.49,382.49,348.3,348.3,348.3
380.05,349.67,349.67,349.67,349.67,349.67,348.98,356.37,401.04,401.04,401.04,387.63,387.63,387.63,349.67,349.67,349.67
411.43,396.98,396.98,396.98,398.02,398.01,339.14,381.54,419.47,419.47,419.47,415.19,415.19,415.19,398.01,398.01,398.01
420.16,412.19,412.19,412.19,412.37,413.04,394.83,404.12,422.09,422.09,422.09,426.54,426.54,426.54,413.04,413.04,413.04
418.26,412.05,412.05,412.05,415.58,414.98,418.56,419,423.31,423.31,423.31,413.81,413.81,413.81,415.58,415.58,415.58
405.3,370.74,370.74,370.74,397.79,373.27,441.35,441.35,424.79,424.79,424.79,382.82,382.82,382.82,397.79,397.79,397.79
379.55,294.75,294.75,294.75,298.07,298.07,393.31,399.52,414.75,414.75,414.75,371.03,371.03,371.03,298.07,298.07,298.07
368.55,332.61,332.61,332.61,332.61,332.61,341.9,341.9,398.77,398.77,398.77,369.01,369.01,369.01,332.61,332.61,332.61
364.74,300.26,300.26,300.26,300.26,300.26,279.38,279.58,402.79,402.79,402.79,373.31,373.31,373.31,300.26,300.26,300.26
410.32,393.65,393.65,395.91,405.87,407.25,408.84,409.6,417.41,417.41,417.41,401.72,401.72,401.72,407.25,408.41,408.41
389.06,365.13,365.13,365.13,365.37,365.13,344.63,365.08,401.72,401.72,401.72,397.22,397.22,397.22,405.27,405.27,405.27
422.2,412.15,412.15,412.15,412.15,412.15,431.56,441.03,428.69,421.3,428.69,424,424,424,421.83,421.83,421.83
413.48,407.34,407.34,407.34,407.34,410.16,421.83,437.97,420.61,413.13,420.61,414.86,414.86,414.86,410.16,410.16,410.16
416.9,411.58,411.58,411.58,411.58,447.08,426.53,438.56,414.49,414.49,414.49,411.58,411.58,411.58,447.08,447.01,447.01
409.46,401.36,401.36,401.36,401.36,401.36,407.81,407.81,416.95,416.95,416.95,405.26,405.26,405.26,401.36,401.36,401.36
414.5,411.32,411.32,411.32,411.32,411.32,419.97,420.52,417.18,417.18,417.18,412.47,412.47,412.47,411.32,411.32,411.32
431.27,428.92,428.92,428.92,428.92,428.92,431,430.99,434.41,434.41,434.41,429.3,429.3,427.07,428.92,428.92,428.92
444.06,434.77,434.77,434.77,437.58,434.77,438.51,438.07,446.68,446.68,446.68,446.82,446.82,443.62,437.58,437.58,437.58
459.33,454.05,454.05,454.05,455.99,454.05,454.27,456.48,459.03,459.03,459.03,462.83,462.83,461.45,454.05,455.99,455.99
493.6,498.73,498.73,498.73,498.73,499.94,495.42,499.19,489.21,489.21,489.21,500.31,500.31,497.25,500.7,500.7,500.7
491.14,487.16,487.16,487.16,487.33,559.21,486.85,488.29,484.53,484.53,484.53,487.16,487.16,483.54,559.21,559.21,559.21
460.81,460.53,460.53,460.53,460.53,460.53,446.43,460.53,461.57,461.57,461.57,461.37,461.37,460.53,460.53,460.53,460.53
447.05,438.54,438.54,438.54,438.54,438.54,397.21,397.21,451.58,451.58,451.58,451.43,451.43,447.33,438.54,438.54,438.54
475.48,476.85,476.85,476.85,479.8,508.5,464.44,468.57,473.43,473.43,473.43,479.1,479.1,476.85,508.5,508.5,508.5
471.46,471.24,471.24,471.24,472.59,525.04,448.53,474.56,468.87,468.87,468.87,471.24,471.24,471.24,525.04,525.04,525.04
460.93,459.28,459.28,459.28,459.28,493.43,442.95,442.95,459.48,459.48,459.48,459.28,459.28,459.28,493.43,493.43,493.43
455.37,454.87,454.87,454.87,454.87,495.01,454.82,456.98,454.87,454.87,454.87,454.87,454.87,454.87,495.01,495.01,495.01
441.68,436.55,436.55,436.55,436.55,440.05,436.55,436.55,443.83,443.83,443.83,443.83,443.83,443.83,440.05,523.09,523.09
438.12,437.35,437.35,437.35,437.35,437.35,438.99,439.67,439.52,439.52,439.52,437.85,437.85,437.85,437.35,441.24,441.24
422.36,401.23,401.23,401.23,401.23,401.23,401.78,404.1,435.05,435.05,435.05,425.09,425.09,425.09,401.23,401.23,401.23
402.94,373.75,373.75,373.75,373.75,373.75,186.75,294.43,420.99,420.99,420.99,420.62,420.62,420.62,373.75,373.75,373.75
399.46,372.76,372.76,372.76,372.76,372.76,152.72,169.19,428.12,428.12,428.12,430.9,430.9,430.9,372.76,406.12,406.12
388.06,328.15,328.15,328.15,328.15,328.46,316.75,329.27,418.29,418.29,418.29,422.38,422.38,422.38,328.46,389.01,389.01
422.87,412.12,412.12,412.12,427.57,426.19,428.06,430.35,425.43,425.43,425.43,425.49,425.49,425.49,426.19,553.56,553.56
439.33,437.56,437.56,437.56,456.5,527.36,462.06,463.13,438.41,438.41,438.41,438.41,438.41,438.41,527.36,594.58,594.58
354.56,347.86,347.86,347.86,347.86,347.86,352.33,352.69,356.11,356.11,356.11,363.6,363.6,363.6,347.86,391.4,391.4
310.52,268.04,268.04,268.04,268.04,268.04,368.66,368.66,362.56,362.56,362.56,366.38,366.38,366.38,268.04,268.04,268.04
426.71,401.49,401.49,401.49,419.65,497.41,458.02,458.02,426.7,426.7,426.7,425.96,425.96,425.96,567.76,567.76,567.76
421.17,392.86,392.86,392.86,392.86,459.26,461.05,463.66,418.1,418.1,418.1,421.23,421.23,421.23,569.78,569.78,569.78
307.24,186.24,186.24,186.24,186.24,188.51,262.59,262.59,382.94,382.94,382.94,384.59,384.59,384.59,188.51,193.07,193.07
332.9,264.46,264.46,264.46,264.46,272.01,325.93,325.93,405.02,405.02,405.02,407.11,407.11,407.16,272.01,272.01,272.01
419.21,402.45,402.45,402.45,402.45,402.45,420.69,430.28,426.63,426.63,426.63,420.27,420.27,420.27,402.45,402.45,402.45
434.04,427.32,427.32,427.32,427.32,427.32,424.72,426.15,439.76,439.76,439.76,434.69,434.69,434.69,427.32,450.97,450.97
432.86,409.88,409.88,409.88,409.88,409.88,326.83,326.83,441.2,441.2,441.2,435.98,435.98,435.98,409.88,409.88,409.88
465.21,455.04,455.04,455.04,455.04,552.76,450.13,473.64,464.6,464.6,464.6,463.35,463.35,462.1,552.76,552.76,552.76
471.86,466.26,466.26,466.26,466.26,515.33,485.71,541.48,469.25,469.25,469.25,472.76,472.76,472.76,537.72,556.56,556.56
456.53,434.88,434.88,434.88,434.88,434.88,441.98,441.98,459.99,459.99,459.99,454.06,454.06,454.01,659.57,659.57,659.57
462.66,430.05,430.05,430.05,430.05,430.05,486.44,486.44,469.92,469.92,469.92,451.8,451.8,451.8,443.44,540.9,540.9
463.16,398.96,398.96,398.96,410.53,398.96,467.36,481.35,468.59,468.59,468.59,459.38,459.38,459.35,453.14,472.2,472.2
438.63,409.63,409.63,409.63,409.63,409.63,408.05,408.05,454.74,454.74,454.74,426.95,426.95,426.95,409.63,409.63,409.63
359.93,129.91,129.91,129.91,129.91,129.91,211.87,211.87,453.99,453.99,453.99,408.88,408.88,408.88,129.91,129.91,129.91
453.94,404.22,404.22,404.22,426.59,671.19,444.77,448.8,463.56,463.56,463.56,444.11,444.11,444.11,671.19,671.19,671.19
464.82,453.79,453.79,453.79,500.02,585.65,475.76,505.38,465.37,465.37,465.37,459.77,459.77,456.48,585.65,585.65,585.65
457.49,458.25,458.25,458.25,492.83,508.89,461.25,493.92,456.69,456.69,456.69,461.44,461.44,448.96,508.89,508.89,508.85
432.12,418.25,418.25,418.25,424.01,477.46,428.08,428.08,430.85,430.85,430.85,433.62,433.62,432.89,477.46,477.46,477.46
421.3,402.45,402.45,402.45,423.63,456.2,441.06,461.53,429.02,429.02,429.02,402.45,402.45,402.45,456.2,456.2,455.87
391.94,360.68,360.68,360.68,360.68,363.22,404.1,404.1,407.6,407.6,407.6,360.68,360.68,360.68,363.22,363.22,363.22
398.36,398.15,398.15,398.15,398.3,398.15,400.18,401.12,398.61,398.61,398.61,398.15,398.15,398.15,398.15,398.3,370.43
446.49,449.49,449.49,449.49,498.15,521.07,497.86,498.29,445.17,445.17,445.17,428.07,428.07,428.07,521.07,527.98,527.98
430.34,431.64,431.64,431.64,466.12,542.95,465.97,466.12,431.64,431.64,431.64,419.12,419.12,419.12,542.95,608.78,608.78
416.77,416.44,416.44,416.44,435.55,640.72,432.48,437.13,416.44,416.99,416.44,407.51,407.51,408.23,640.72,772.13,772.13
414.28,414.83,414.83,414.83,441.18,512.54,435.21,441.29,414.83,414.83,414.83,404.45,404.45,404.45,512.54,543.12,543.12
412.27,412.66,412.66,412.66,423.83,551.72,412.65,423.83,412.66,412.66,412.66,407.47,407.47,407.47,551.72,589.53,589.53
379.53,379.58,379.58,379.58,379.58,379.58,376.75,379.76,379.58,379.58,379.58,379.58,379.58,379.58,379.58,398.76,398.76
319.94,313.1,313.1,313.1,313.1,337.47,297.37,297.37,319.44,319.44,319.44,327.88,327.88,327.88,337.47,369.5,369.5
379.1,360.36,360.36,360.36,364.76,486.48,364.49,365.54,394.14,394.14,394.14,394.14,394.14,392.76,486.48,486.48,459.54
403.18,384.15,384.15,384.15,425.01,496.83,420.25,442.32,405.45,405.45,405.45,405.83,405.83,403.44,519.19,547.96,547.96
396.18,338.32,338.32,338.32,392.26,384.63,446.77,446.77,403.59,403.59,403.59,400.45,400.45,393.14,394.22,470.87,470.87
276.73,100.98,100.98,100.98,100.98,100.98,164.39,164.39,347.85,347.85,347.85,365.96,365.96,364.64,522.53,550.74,550.74
339.46,281.73,281.73,281.73,307.07,281.73,382.25,382.25,380.33,380.33,380.33,353.78,353.78,353.78,339.47,368.56,368.56
335.78,234.53,234.53,234.53,234.53,234.53,318.04,318.04,361.8,361.8,361.8,344.16,344.16,344.16,234.53,377.79,377.79
292.25,224.85,224.85,224.85,224.99,231.68,299.35,299.7,330.09,330.09,330.09,332.35,332.35,332.35,231.68,392.67,392.67
358.3,338.15,338.15,338.15,388.28,536.22,391.5,391.5,362.24,362.24,362.24,339.97,339.97,344.2,539.9,565.39,565.39
345.89,291.39,291.39,291.39,341.42,352.15,413.41,413.41,370.37,370.37,370.37,320.65,320.65,332,352.15,367.61,367.61
332.99,304.07,304.07,304.07,358.95,556.23,375.63,379.62,343.94,343.94,343.94,310.74,310.74,310.74,556.23,566.33,566.33
255.76,96.13,96.13,96.13,96.13,415.48,337.73,337.73,325.58,325.58,325.58,231.62,231.62,231.62,467.08,466.63,466.63
299.51,254.46,254.46,254.46,329.56,616.5,389.82,389.82,320.07,320.07,320.07,254.46,254.46,254.46,726.34,726.34,726.34
104.39,97.91,97.91,97.91,97.91,186.44,77.12,96.16,158.66,158.66,158.66,97.99,97.99,97.99,436.5,443.84,443.84
159.97,104.3,104.3,104.3,157.76,126.77,195.6,195.6,279.18,293.58,279.18,105.65,105.65,105.65,335.06,335.06,335.06
255.1,224.96,224.96,224.96,252.17,236.91,326.65,326.65,317,321.36,317,223.86,223.86,223.86,415.71,415.71,415.71
321.34,255.63,255.63,255.63,346.41,382.31,391.11,444.74,340.81,340.81,340.81,252.4,252.4,252.4,485.93,485.93,485.93
318.86,262.36,262.36,262.36,308.37,262.36,459.53,459.53,351.68,351.68,351.68,280.15,280.15,280.15,477.63,477.63,477.63
311.86,291.35,291.35,291.35,362,307.45,378.73,380.26,326.59,326.59,326.59,293.94,293.94,293.94,637.34,637.34,637.34
335.32,329.43,329.43,329.43,372.87,341.74,440.77,440.77,336.96,337.16,336.96,325.08,325.08,325.08,581.27,581.27,581.27
279.79,259.25,259.25,259.25,259.25,259.25,293.46,293.46,294.27,294.27,294.27,259.25,259.25,259.25,454.29,454.29,454.29
279.18,255.52,255.52,255.52,255.52,255.52,328.01,328.01,297.25,298.36,297.25,255.52,255.52,255.52,411.03,411.03,411.03
325.65,293.45,293.45,293.45,293.45,318.68,431.41,438.7,337.3,337.43,337.3,292.25,292.25,292.25,425.63,425.63,425.63
329.28,293.3,293.3,293.3,313.82,296.84,436.64,436.64,342.28,342.65,342.28,295.41,295.41,295.41,567.3,575.8,575.8
343.4,305.06,305.06,305.06,385.78,314.98,434.15,434.15,348.73,348.73,348.73,321.27,321.27,321.27,619.63,619.63,619.63
321.79,306.38,306.38,306.38,338.02,350.71,388.9,388.9,326.28,326.72,326.28,306.38,306.38,306.38,532.37,532.37,532.37
318.22,279.81,279.81,279.81,304.97,279.81,394.1,394.1,332.92,332.92,332.92,283.67,283.67,283.67,507.31,507.31,507.31
289.22,217.32,217.32,217.32,239.59,217.32,334.42,334.42,323.8,329.05,323.8,242.43,242.43,242.43,368.39,368.39,368.39
262.68,239.8,239.8,239.8,245.2,239.8,280.17,280.17,289.08,290.24,289.08,249.55,249.55,249.55,383.24,394.23,394.23
